Sales,Price,Feature,Display,Price - Competitor 1,Price - Competitor 2,Price - Competitor 3,Price - Competitor 4,Price - Competitor 5
37,5.89,0,0,4.10,4.04,5.99,4.46,2.00
62,4.63,1,0,4.10,3.40,5.17,3.99,3.09
42,5.89,0,0,4.10,3.91,5.99,4.80,3.00
238,5.03,1,1,4.03,3.91,6.16,5.14,2.31
102,5.59,0,1,4.03,3.93,4.85,5.07,2.25
42,5.69,0,0,4.10,4.12,5.98,4.30,3.29
51,6.09,0,0,4.10,3.62,6.19,3.77,2.38
36,5.78,0,0,4.03,3.71,6.59,4.05,2.01
46,5.79,0,0,4.10,3.91,5.99,4.59,2.00
176,5.00,1,0,4.11,2.71,5.99,5.04,2.00
44,5.48,0,0,4.11,3.24,4.50,3.82,3.09
72,5.78,0,0,4.11,3.29,4.50,3.71,3.09
35,5.79,0,0,4.11,2.71,5.99,3.61,2.50
34,4.99,0,0,4.11,4.00,5.99,4.39,2.09
32,5.89,0,0,4.11,3.16,5.50,4.58,3.29
28,6.29,0,0,4.02,3.66,5.13,4.32,2.78
228,5.00,1,1,4.02,4.10,5.59,4.25,3.49
36,6.19,0,0,4.11,3.47,6.39,3.67,2.56
40,6.19,0,0,4.11,3.21,6.39,3.61,2.07
27,6.09,0,0,4.11,3.28,6.19,3.33,2.06
95,5.38,0,0,4.11,3.56,5.00,3.96,2.70
44,5.78,0,0,4.11,3.56,4.50,3.87,2.31
179,5.59,1,1,4.02,3.88,5.89,4.10,1.56
380,5.29,1,1,4.02,3.75,5.89,5.03,3.19
84,5.48,0,0,4.11,3.32,4.50,4.25,2.50
19,6.22,0,0,4.02,4.00,6.39,3.33,3.89
34,5.89,0,0,4.11,3.05,5.50,5.27,2.50
60,6.09,0,0,4.11,3.59,6.29,4.89,3.49
69,6.32,0,0,4.02,4.78,6.39,5.79,2.50
30,5.69,0,0,4.02,4.12,5.28,4.34,3.29
52,5.99,0,0,4.02,3.44,4.40,4.03,2.50
22,6.19,0,0,4.11,3.39,6.39,3.68,2.05
22,6.47,0,0,4.02,4.61,6.69,5.64,3.22
23,6.49,0,0,4.02,4.92,6.69,5.55,3.48
26,6.15,0,0,4.02,2.36,5.97,5.04,3.29
66,6.22,0,0,4.11,4.64,5.50,5.49,3.00
40,5.78,0,0,4.02,3.52,4.94,3.82,2.65
33,6.09,0,0,4.11,3.33,5.51,3.33,3.49
75,6.19,0,0,4.11,3.39,6.39,3.58,2.05
112,4.70,1,0,4.11,3.58,5.39,4.08,2.50
65,5.79,0,0,4.11,3.96,5.99,5.17,2.83
38,5.78,0,0,4.02,3.60,4.50,3.63,2.46
183,5.30,1,1,4.02,4.89,5.69,4.63,3.29
22,5.69,0,0,4.12,3.81,5.98,4.13,3.29
23,6.09,0,0,4.01,4.21,5.07,4.88,2.50
32,5.78,0,0,4.12,2.80,4.99,4.19,2.00
36,5.99,0,0,4.01,3.36,5.62,4.58,3.06
15,5.96,0,0,4.01,3.45,3.09,5.59,3.59
45,5.79,0,0,4.01,3.96,5.99,4.41,3.29
38,5.88,0,0,4.12,3.49,5.00,3.95,2.64
44,5.95,0,0,4.01,3.45,5.25,5.19,3.36
32,5.69,0,0,4.12,4.11,5.28,4.82,3.29
46,6.09,0,0,4.12,3.73,6.19,4.06,2.42
29,5.89,0,0,4.01,3.74,4.50,4.97,3.39
69,5.89,0,0,4.01,3.43,5.64,3.35,3.29
66,5.89,0,0,4.01,3.43,5.99,4.75,3.29
56,5.69,0,0,4.12,4.11,5.25,5.09,3.29
100,4.95,1,0,4.12,3.51,4.99,4.00,2.13
11,5.89,0,0,4.01,3.45,5.99,4.89,3.49
30,6.30,0,0,4.12,3.78,6.39,5.49,3.89
44,6.28,0,0,4.12,3.50,6.39,5.49,3.89
19,5.49,0,0,4.12,4.63,6.39,5.49,2.95
132,4.50,1,1,4.01,3.33,4.99,3.59,1.74
14,5.69,0,0,4.12,4.11,5.98,4.05,3.29
211,4.75,1,1,4.12,3.78,5.78,4.67,3.09
34,5.69,0,0,4.12,4.06,5.98,3.48,3.29
65,5.69,0,0,4.12,4.11,5.98,4.05,3.29
69,6.19,0,0,4.12,3.59,5.51,3.33,3.69
58,5.79,0,0,4.01,3.80,5.99,5.19,2.52
125,4.88,1,0,4.12,2.91,5.78,4.48,3.09
65,5.78,0,0,4.12,3.48,4.99,4.35,3.09
519,3.99,1,1,4.01,3.28,5.99,3.58,3.35
12,5.89,0,0,4.12,3.43,5.99,5.09,3.49
53,5.61,0,0,4.01,2.92,5.96,3.34,3.59
58,6.19,0,0,4.01,3.45,4.92,3.33,3.69
76,5.78,0,0,4.12,3.54,5.78,4.70,3.09
26,6.19,0,0,4.01,4.24,5.01,3.36,2.74
13,6.19,0,0,4.13,3.51,6.39,3.50,2.04
56,6.19,0,0,4.13,3.38,6.39,3.67,2.06
39,5.78,0,0,4.13,3.07,4.61,3.49,3.09
43,5.78,0,0,4.13,3.57,5.39,4.49,2.50
25,5.66,0,0,4.00,3.79,6.59,4.77,2.28
242,5.00,1,1,4.00,4.05,5.93,4.22,3.69
26,6.39,0,0,4.00,4.65,6.59,5.67,3.79
78,6.09,0,0,4.00,4.29,5.00,3.37,2.66
48,5.67,0,0,4.00,3.64,6.49,4.00,2.50
359,4.30,1,1,4.00,3.69,5.99,4.78,2.46
372,4.39,1,1,4.00,3.83,5.99,4.57,2.66
44,5.79,0,0,4.00,3.70,5.14,4.08,3.39
23,5.82,0,0,4.13,3.85,6.19,4.42,2.28
56,6.09,0,0,4.00,3.54,5.50,3.33,3.49
62,5.78,0,0,4.00,3.50,4.49,3.77,2.39
69,5.84,0,0,4.13,3.79,6.39,4.66,2.23
79,5.78,0,0,4.13,2.99,4.99,4.65,2.00
64,5.79,0,0,4.13,3.85,5.99,5.17,3.29
23,6.39,0,0,4.00,3.29,6.59,4.00,2.25
39,5.79,1,0,4.13,3.24,5.59,4.67,3.19
46,6.30,0,0,4.00,3.78,5.72,5.42,3.89
118,5.02,1,0,4.00,4.14,5.83,4.40,3.69
40,5.97,0,0,4.00,3.56,5.99,5.44,2.40
44,5.96,0,0,4.00,3.84,5.99,5.50,2.53
